"","field_1","field_2","field_3","field_4","X_mean"
"1",8050,5.95999999996275,48.9000000003725,5.71,30
"2",8052,7.93999999994412,48.9000000003725,6.15,35
"3",8053,8.92999999993481,48.9000000003725,6.25,35
"4",8055,10.9199999999255,48.9000000003725,5.72,40
"5",8151,4.95999999996275,47.9200000003912,6.25,30
"6",8152,5.95999999996275,47.9200000003912,6.12,30
"7",8154,7.93999999994412,47.9200000003912,5.65,35
"8",8155,8.92999999993481,47.9200000003912,5.47,35
"9",8157,10.9199999999255,47.9200000003912,5.78,40
"10",8159,11.9099999999162,47.9200000003912,6.09,40
"11",8160,12.8999999999069,47.9200000003912,6.26,40
"12",8161,13.890000000014,47.9200000003912,5.57,40
"13",8162,14.890000000014,47.9200000003912,5.85,30
"14",8163,15.8800000000047,47.9200000003912,5.83,30
"15",8165,17.859999999986,47.9200000003912,6.42,35
"16",8252,4.95999999996275,46.9400000004098,6.19,30
"17",8253,5.95999999996275,46.9400000004098,6.16,30
"18",8256,7.93999999994412,46.9400000004098,6.34,35
"19",8257,8.92999999993481,46.9400000004098,6.34,35
"20",8259,10.9199999999255,46.9400000004098,6.1,40
"21",8260,11.9099999999162,46.9400000004098,5.38,40
"22",8261,12.8999999999069,46.9400000004098,6.09,40
"23",8263,14.890000000014,46.9400000004098,5.86,30
"24",8264,15.8800000000047,46.9400000004098,6.24,30
"25",8267,17.859999999986,46.9400000004098,6.22,35
"26",8269,19.8499999999767,46.9400000004098,6.09,40
"27",8270,20.8399999999674,46.9400000004098,6,40
"28",8271,21.8299999999581,46.9400000004098,5.93,40
"29",8272,22.8199999999488,46.9400000004098,5.8,0
"30",8273,23.8199999999488,46.9400000004098,5.87,30
"31",8274,24.8099999999395,46.9400000004098,5.82,30
"32",8275,25.7999999999302,46.9400000004098,5.84,30
"33",8355,4.95999999996275,45.9599999999627,5.9,30
"34",8356,5.95999999996275,45.9599999999627,6.07,30
"35",8358,7.93999999994412,45.9599999999627,6.42,35
"36",8361,10.9199999999255,45.9599999999627,6.47,40
"37",8362,11.9099999999162,45.9599999999627,6.21,40
"38",8363,12.8999999999069,45.9599999999627,6.39,40
"39",8366,14.890000000014,45.9599999999627,5.04,30
"40",8367,15.8800000000047,45.9599999999627,5.49,30
"41",8369,17.859999999986,45.9599999999627,6.38,35
"42",8371,19.8499999999767,45.9599999999627,6.35,40
"43",8372,20.8399999999674,45.9599999999627,6.25,40
"44",8373,21.8299999999581,45.9599999999627,5.95,40
"45",8374,22.8199999999488,45.9599999999627,5.7,0
"46",8376,23.8199999999488,45.9599999999627,5.37,30
"47",8377,24.8099999999395,45.9599999999627,6.37,30
"48",8380,27.7799999999115,45.9599999999627,6.21,35
"49",8382,29.7699999999022,45.9599999999627,6.51,40
"50",8383,30.7600000000093,45.9599999999627,6.55,40
"51",8452,4.95999999996275,44.9799999999814,6.15,30
"52",8453,5.95999999996275,44.9799999999814,5.97,30
"53",8455,7.93999999994412,44.9799999999814,5.74,35
"54",8457,9.91999999992549,44.9799999999814,5.39,40
"55",8458,10.9199999999255,44.9799999999814,6.03,40
"56",8459,11.9099999999162,44.9799999999814,6.23,40
"57",8460,12.8999999999069,44.9799999999814,6.19,40
"58",8462,14.890000000014,44.9799999999814,6.24,30
"59",8463,15.8800000000047,44.9799999999814,6.24,30
"60",8465,17.859999999986,44.9799999999814,6.1,35
"61",8467,19.8499999999767,44.9799999999814,6.29,40
"62",8468,20.8399999999674,44.9799999999814,5.76,40
