"","field_1","field_2","field_3","field_4","X_mean"
"63",8469,21.8299999999581,44.9799999999814,5.73,40
"64",8470,22.8199999999488,44.9799999999814,5.77,0
"65",8471,23.8199999999488,44.9799999999814,5.83,30
"66",8472,24.8099999999395,44.9799999999814,6.21,30
"67",8474,26.7899999999208,44.9799999999814,6.31,35
"68",8475,27.7799999999115,44.9799999999814,5.94,35
"69",8477,29.7699999999022,44.9799999999814,6.58,40
"70",8478,30.7600000000093,44.9799999999814,6.47,40
"71",8544,4.95999999996275,44.0100000002421,5.96,30
"72",8545,5.95999999996275,44.0100000002421,5.6,30
"73",8547,7.93999999994412,44.0100000002421,6.16,35
"74",8549,9.91999999992549,44.0100000002421,5.43,40
"75",8550,10.9199999999255,44.0100000002421,5.96,40
"76",8551,11.9099999999162,44.0100000002421,5.96,40
"77",8552,12.8999999999069,44.0100000002421,5.99,40
"78",8554,14.890000000014,44.0100000002421,6.17,30
"79",8557,17.859999999986,44.0100000002421,6.17,35
"80",8559,19.8499999999767,44.0100000002421,6.48,40
"81",8560,20.8399999999674,44.0100000002421,6.09,40
"82",8561,21.8299999999581,44.0100000002421,5.73,0
"83",8562,22.8199999999488,44.0100000002421,5.66,0
"84",8563,23.8199999999488,44.0100000002421,6.11,30
"85",8564,24.8099999999395,44.0100000002421,6.5,30
"86",8566,26.7899999999208,44.0100000002421,6.43,35
"87",8567,27.7799999999115,44.0100000002421,6.21,35
"88",8569,29.7699999999022,44.0100000002421,6.46,40
"89",8570,30.7600000000093,44.0100000002421,6.57,40
"90",8637,4.95999999996275,43.0300000002608,6.02,30
"91",8638,5.95999999996275,43.0300000002608,5.74,30
"92",8640,7.93999999994412,43.0300000002608,6.05,35
"93",8642,9.91999999992549,43.0300000002608,5.42,40
"94",8643,10.9199999999255,43.0300000002608,4.95,40
"95",8644,11.9099999999162,43.0300000002608,5.62,40
"96",8645,12.8999999999069,43.0300000002608,6.1,40
"97",8646,13.890000000014,43.0300000002608,5.75,30
"98",8647,14.890000000014,43.0300000002608,6.1,30
"99",8649,16.8699999999953,43.0300000002608,6.42,35
"100",8650,17.859999999986,43.0300000002608,6.23,35
"101",8652,19.8499999999767,43.0300000002608,6.34,40
"102",8653,20.8399999999674,43.0300000002608,5.93,40
"103",8654,21.8299999999581,43.0300000002608,5.73,0
"104",8655,22.8199999999488,43.0300000002608,5.65,0
"105",8656,23.8199999999488,43.0300000002608,5.87,30
"106",8657,24.8099999999395,43.0300000002608,6.34,30
"107",8659,26.7899999999208,43.0300000002608,6.47,35
"108",8660,27.7799999999115,43.0300000002608,6.09,35
"109",8662,29.7699999999022,43.0300000002608,6.15,40
"110",8663,30.7600000000093,43.0300000002608,6.45,40
"111",8730,4.95999999996275,42.0500000002794,5.99,30
"112",8731,5.95999999996275,42.0500000002794,5.91,30
"113",8733,7.93999999994412,42.0500000002794,5.67,35
"114",8735,9.91999999992549,42.0500000002794,5.09,40
"115",8736,10.9199999999255,42.0500000002794,5.77,40
"116",8737,11.9099999999162,42.0500000002794,5.99,40
"117",8738,12.8999999999069,42.0500000002794,5.6,40
"118",8739,13.890000000014,42.0500000002794,5.86,30
"119",8740,14.890000000014,42.0500000002794,5.52,30
"120",8742,16.8699999999953,42.0500000002794,6.34,35
"121",8743,17.859999999986,42.0500000002794,6.3,35
"122",8745,19.8499999999767,42.0500000002794,6.27,40
"123",8746,20.8399999999674,42.0500000002794,5.63,40
"124",8747,21.8299999999581,42.0500000002794,5.74,0
"125",8748,22.8199999999488,42.0500000002794,5.74,0
"126",8749,23.8199999999488,42.0500000002794,5.96,30
"127",8750,24.8099999999395,42.0500000002794,6.46,30
"128",8752,26.7899999999208,42.0500000002794,6.25,35
"129",8755,29.7699999999022,42.0500000002794,6.35,40
"130",8823,4.95999999996275,41.070000000298,5.94,30
"131",8826,7.93999999994412,41.070000000298,6.01,35
"132",8828,9.91999999992549,41.070000000298,5.93,40
"133",8829,10.9199999999255,41.070000000298,6.13,40
"134",8830,11.9099999999162,41.070000000298,6.18,40
"135",8831,12.8999999999069,41.070000000298,5.98,40
"136",8832,13.890000000014,41.070000000298,5.63,30
"137",8833,14.890000000014,41.070000000298,5.73,30
"138",8835,16.8699999999953,41.070000000298,5.93,35
"139",8836,17.859999999986,41.070000000298,5.92,35
"140",8838,19.8499999999767,41.070000000298,6.07,40
"141",8839,20.8399999999674,41.070000000298,5.68,40
"142",8840,21.8299999999581,41.070000000298,5.73,0
"143",8841,22.8199999999488,41.070000000298,5.64,30
"144",8842,23.8199999999488,41.070000000298,6.42,30
"145",8843,24.8099999999395,41.070000000298,6.43,30
"146",8845,26.7899999999208,41.070000000298,6.09,35
"147",8847,28.7799999999115,41.070000000298,6.39,40
"148",8848,29.7699999999022,41.070000000298,6.48,40
"149",8915,3.96999999997206,40.0900000003166,5.65,30
"150",8916,4.95999999996275,40.0900000003166,5.78,30
"151",8918,6.94999999995343,40.0900000003166,5.83,35
"152",8919,7.93999999994412,40.0900000003166,6.1,35
"153",8921,9.91999999992549,40.0900000003166,5.72,40
"154",8922,10.9199999999255,40.0900000003166,5.49,40
"155",8923,11.9099999999162,40.0900000003166,6.06,40
"156",8924,12.8999999999069,40.0900000003166,5.21,40
"157",8925,13.890000000014,40.0900000003166,5.41,30
"158",8926,14.890000000014,40.0900000003166,5.88,30
"159",8928,16.8699999999953,40.0900000003166,5.92,35
"160",8931,19.8499999999767,40.0900000003166,6.25,40
"161",8932,20.8399999999674,40.0900000003166,5.77,40
"162",8933,21.8299999999581,40.0900000003166,5.1,0
"163",8934,22.8199999999488,40.0900000003166,5.36,30
"164",8935,23.8199999999488,40.0900000003166,6.13,30
"165",8936,24.8099999999395,40.0900000003166,6.23,30
"166",8938,26.7899999999208,40.0900000003166,6.16,35
"167",8940,28.7799999999115,40.0900000003166,6.48,40
"168",8941,29.7699999999022,40.0900000003166,6.54,40
"169",9013,3.96999999997206,39.1200000001118,5.69,30
"170",9014,4.95999999996275,39.1200000001118,5.75,30
"171",9017,6.94999999995343,39.1200000001118,5.81,35
"172",9018,7.93999999994412,39.1200000001118,5.68,35
"173",9020,9.91999999992549,39.1200000001118,5.52,40
"174",9021,10.9199999999255,39.1200000001118,5.85,40
"175",9022,11.9099999999162,39.1200000001118,5.99,40
"176",9024,13.890000000014,39.1200000001118,6.07,30
"177",9025,14.890000000014,39.1200000001118,6.02,30
"178",9028,16.8699999999953,39.1200000001118,6.06,35
"179",9030,18.8499999999767,39.1200000001118,5.54,40
"180",9031,19.8499999999767,39.1200000001118,6.03,40
"181",9032,20.8399999999674,39.1200000001118,5.45,40
"182",9033,21.8299999999581,39.1200000001118,5.51,0
"183",9034,22.8199999999488,39.1200000001118,5.53,30
"184",9035,23.8199999999488,39.1200000001118,6.17,30
"185",9036,24.8099999999395,39.1200000001118,6.16,30
"186",9039,26.7899999999208,39.1200000001118,6.23,35
"187",9041,28.7799999999115,39.1200000001118,6.45,40
"188",9042,29.7699999999022,39.1200000001118,6.15,40
"189",9114,3.96999999997206,38.1400000001304,5.83,30
"190",9115,4.95999999996275,38.1400000001304,5.85,30
"191",9117,6.94999999995343,38.1400000001304,5.61,35
"192",9120,9.91999999992549,38.1400000001304,6.08,40
"193",9121,10.9199999999255,38.1400000001304,6.09,40
"194",9123,11.9099999999162,38.1400000001304,6.03,40
"195",9125,13.890000000014,38.1400000001304,5.92,30
"196",9126,14.890000000014,38.1400000001304,5.9,30
"197",9128,16.8699999999953,38.1400000001304,6.06,35
"198",9130,18.8499999999767,38.1400000001304,5.77,40
"199",9131,19.8499999999767,38.1400000001304,5.77,40
"200",9132,20.8399999999674,38.1400000001304,5.72,40
"201",9134,21.8299999999581,38.1400000001304,5.61,0
"202",9135,22.8199999999488,38.1400000001304,5.65,30
"203",9136,23.8199999999488,38.1400000001304,5.83,30
"204",9139,26.7899999999208,38.1400000001304,6.17,35
"205",9141,28.7799999999115,38.1400000001304,6.39,40
"206",9142,29.7699999999022,38.1400000001304,6.54,40
"207",9214,3.96999999997206,37.160000000149,5.97,30
"208",9215,4.95999999996275,37.160000000149,5.91,30
"209",9217,6.94999999995343,37.160000000149,5.7,35
"210",9220,8.92999999993481,37.160000000149,5.44,40
"211",9221,9.91999999992549,37.160000000149,5.97,40
"212",9222,10.9199999999255,37.160000000149,5.99,40
"213",9223,11.9099999999162,37.160000000149,6.09,40
"214",9225,13.890000000014,37.160000000149,6.06,30
"215",9226,14.890000000014,37.160000000149,6.08,30
"216",9228,16.8699999999953,37.160000000149,5.9,35
"217",9231,18.8499999999767,37.160000000149,5.92,40
"218",9232,19.8499999999767,37.160000000149,5.69,40
"219",9233,20.8399999999674,37.160000000149,5.62,40
"220",9234,21.8299999999581,37.160000000149,5.49,0
"221",9235,22.8199999999488,37.160000000149,5.61,30
"222",9236,23.8199999999488,37.160000000149,5.89,30
"223",9238,25.7999999999302,37.160000000149,6.27,35
"224",9239,26.7899999999208,37.160000000149,5.8,35
"225",9242,28.7799999999115,37.160000000149,5.94,40
"226",9243,29.7699999999022,37.160000000149,6.45,40
"227",9316,3.96999999997206,36.1800000001676,5.85,30
"228",9317,4.95999999996275,36.1800000001676,5.62,30
"229",9319,6.94999999995343,36.1800000001676,6.14,35
"230",9321,8.92999999993481,36.1800000001676,6.11,40
"231",9322,9.91999999992549,36.1800000001676,5.65,40
"232",9323,10.9199999999255,36.1800000001676,5.72,40
"233",9324,11.9099999999162,36.1800000001676,6.26,40
"234",9327,13.890000000014,36.1800000001676,5.59,30
"235",9328,14.890000000014,36.1800000001676,6.11,30
"236",9330,16.8699999999953,36.1800000001676,6.04,35
"237",9332,18.8499999999767,36.1800000001676,5.72,40
"238",9333,19.8499999999767,36.1800000001676,5.69,40
"239",9334,20.8399999999674,36.1800000001676,5.5,0
"240",9335,21.8299999999581,36.1800000001676,5.71,0
"241",9336,22.8199999999488,36.1800000001676,5.64,30
"242",9338,23.8199999999488,36.1800000001676,5.9,30
"243",9340,25.7999999999302,36.1800000001676,6.05,35
"244",9341,26.7899999999208,36.1800000001676,5.9,35
"245",9343,28.7799999999115,36.1800000001676,6.26,40
"246",9344,29.7699999999022,36.1800000001676,6.43,40
"247",9417,3.96999999997206,35.2099999999627,5.97,30
"248",9418,4.95999999996275,35.2099999999627,5.82,30
"249",9420,6.94999999995343,35.2099999999627,6.11,35
"250",9422,8.92999999993481,35.2099999999627,6.34,40
"251",9423,9.91999999992549,35.2099999999627,6.12,40
"252",9424,10.9199999999255,35.2099999999627,5.91,40
"253",9425,11.9099999999162,35.2099999999627,6.02,40
"254",9426,12.8999999999069,35.2099999999627,5.81,30
"255",9427,13.890000000014,35.2099999999627,5.5,30
"256",9430,16.8699999999953,35.2099999999627,5.57,35
"257",9432,18.8499999999767,35.2099999999627,5.71,40
"258",9433,19.8499999999767,35.2099999999627,5.93,40
"259",9434,20.8399999999674,35.2099999999627,5.37,0
"260",9435,21.8299999999581,35.2099999999627,5.1,0
"261",9436,22.8199999999488,35.2099999999627,5.45,30
"262",9437,23.8199999999488,35.2099999999627,5.57,30
"263",9439,25.7999999999302,35.2099999999627,5.94,35
"264",9440,26.7899999999208,35.2099999999627,5.91,35
"265",9442,28.7799999999115,35.2099999999627,6.46,40
"266",9443,29.7699999999022,35.2099999999627,6.48,40
"267",9508,3.96999999997206,34.2299999999814,6.08,30
"268",9509,4.95999999996275,34.2299999999814,6.06,30
"269",9511,6.94999999995343,34.2299999999814,5.74,35
"270",9513,8.92999999993481,34.2299999999814,5.69,40
"271",9514,9.91999999992549,34.2299999999814,5.67,40
"272",9515,10.9199999999255,34.2299999999814,5.39,40
"273",9516,11.9099999999162,34.2299999999814,5.44,40
"274",9517,12.8999999999069,34.2299999999814,5.62,30
"275",9518,13.890000000014,34.2299999999814,5.99,30
"276",9520,15.8800000000047,34.2299999999814,5.97,35
"277",9521,16.8699999999953,34.2299999999814,5.98,35
"278",9523,18.8499999999767,34.2299999999814,6.25,40
"279",9524,19.8499999999767,34.2299999999814,5.4,40
"280",9525,20.8399999999674,34.2299999999814,5.62,0
"281",9526,21.8299999999581,34.2299999999814,5.5,0
"282",9527,22.8199999999488,34.2299999999814,5.63,30
"283",9528,23.8199999999488,34.2299999999814,6.04,30
"284",9530,25.7999999999302,34.2299999999814,6.2,35
"285",9531,26.7899999999208,34.2299999999814,5.94,35
"286",9533,28.7799999999115,34.2299999999814,6.34,40
"287",9599,3.96999999997206,33.25,6.15,30
"288",9602,6.94999999995343,33.25,6.08,35
"289",9604,8.92999999993481,33.25,5.81,40
"290",9605,9.91999999992549,33.25,6.03,40
"291",9606,10.9199999999255,33.25,5.24,40
"292",9607,11.9099999999162,33.25,5.29,40
"293",9608,12.8999999999069,33.25,5.73,30
"294",9609,13.890000000014,33.25,6.09,30
"295",9611,15.8800000000047,33.25,6.17,35
"296",9612,16.8699999999953,33.25,5.61,35
"297",9614,18.8499999999767,33.25,6.14,40
"298",9615,19.8499999999767,33.25,5.59,40
"299",9616,20.8399999999674,33.25,5.66,0
"300",9617,21.8299999999581,33.25,5.51,30
"301",9618,22.8199999999488,33.25,5.59,30
"302",9619,23.8199999999488,33.25,5.99,30
"303",9621,25.7999999999302,33.25,6.09,35
"304",9624,28.7799999999115,33.25,6.46,40
"305",9689,2.97999999998137,32.2700000000186,6.05,30
"306",9690,3.96999999997206,32.2700000000186,6.04,30
"307",9692,5.95999999996275,32.2700000000186,5.94,35
"308",9693,6.94999999995343,32.2700000000186,6.15,35
"309",9695,8.92999999993481,32.2700000000186,5.8,40
"310",9696,9.91999999992549,32.2700000000186,5.62,40
"311",9697,10.9199999999255,32.2700000000186,5.95,40
"312",9698,11.9099999999162,32.2700000000186,5.7,40
"313",9699,12.8999999999069,32.2700000000186,5.69,30
"314",9700,13.890000000014,32.2700000000186,6.11,30
"315",9702,15.8800000000047,32.2700000000186,5.97,35
"316",9705,18.8499999999767,32.2700000000186,6.13,40
"317",9706,19.8499999999767,32.2700000000186,5.52,40
"318",9707,20.8399999999674,32.2700000000186,5.49,0
"319",9708,21.8299999999581,32.2700000000186,5.58,30
"320",9709,22.8199999999488,32.2700000000186,6.14,30
"321",9710,23.8199999999488,32.2700000000186,6.19,30
"322",9712,25.7999999999302,32.2700000000186,6.03,35
"323",9714,27.7799999999115,32.2700000000186,6.11,40
"324",9715,28.7799999999115,32.2700000000186,6.08,40
"325",9780,2.97999999998137,31.2900000000373,5.7,30
"326",9781,3.96999999997206,31.2900000000373,6.01,30
"327",9783,5.95999999996275,31.2900000000373,5.76,35
"328",9784,6.94999999995343,31.2900000000373,6.06,35
"329",9786,8.92999999993481,31.2900000000373,5.64,40
"330",9787,9.91999999992549,31.2900000000373,5.63,40
"331",9788,10.9199999999255,31.2900000000373,6.12,40
"332",9789,11.9099999999162,31.2900000000373,5.73,40
"333",9790,12.8999999999069,31.2900000000373,5.81,30
"334",9791,13.890000000014,31.2900000000373,5.08,30
"335",9793,15.8800000000047,31.2900000000373,6.29,35
"336",9795,17.859999999986,31.2900000000373,6.33,40
"337",9796,18.8499999999767,31.2900000000373,6.39,40
"338",9797,19.8499999999767,31.2900000000373,5.49,40
"339",9798,20.8399999999674,31.2900000000373,5.3,0
"340",9799,21.8299999999581,31.2900000000373,5.59,30
"341",9800,22.8199999999488,31.2900000000373,6.05,30
"342",9801,23.8199999999488,31.2900000000373,6.17,30
"343",9803,25.7999999999302,31.2900000000373,6.21,35
"344",9805,27.7799999999115,31.2900000000373,6.43,40
"345",9806,28.7799999999115,31.2900000000373,6.43,40
"346",9870,2.97999999998137,30.320000000298,6.03,30
"347",9871,3.96999999997206,30.320000000298,5.68,30
"348",9873,5.95999999996275,30.320000000298,5.82,35
"349",9874,6.94999999995343,30.320000000298,6.01,35
"350",9876,8.92999999993481,30.320000000298,6.11,40
"351",9877,9.91999999992549,30.320000000298,6.05,40
"352",9878,10.9199999999255,30.320000000298,6.2,40
"353",9880,12.8999999999069,30.320000000298,5.88,30
"354",9881,13.890000000014,30.320000000298,5.62,30
"355",9883,15.8800000000047,30.320000000298,6.05,35
"356",9885,17.859999999986,30.320000000298,6.23,40
"357",9886,18.8499999999767,30.320000000298,6.21,40
"358",9887,19.8499999999767,30.320000000298,5.63,40
"359",9888,20.8399999999674,30.320000000298,5.45,0
"360",9889,21.8299999999581,30.320000000298,5.66,30
"361",9890,22.8199999999488,30.320000000298,5.85,30
"362",9891,23.8199999999488,30.320000000298,6.21,30
"363",9893,25.7999999999302,30.320000000298,6.27,35
"364",9895,27.7799999999115,30.320000000298,6.52,40
"365",9896,28.7799999999115,30.320000000298,6.45,40
"366",9966,2.97999999998137,29.3400000003166,6.03,30
"367",9967,3.96999999997206,29.3400000003166,5.52,30
"368",9970,5.95999999996275,29.3400000003166,5.88,35
"369",9973,8.92999999993481,29.3400000003166,6.28,40
"370",9974,9.91999999992549,29.3400000003166,5.74,40
"371",9975,10.9199999999255,29.3400000003166,6.17,40
"372",9977,12.8999999999069,29.3400000003166,6.09,30
"373",9978,13.890000000014,29.3400000003166,5.96,30
"374",9981,15.8800000000047,29.3400000003166,6.03,35
"375",9983,17.859999999986,29.3400000003166,6.02,40
"376",9984,18.8499999999767,29.3400000003166,6.12,40
"377",9985,19.8499999999767,29.3400000003166,5.42,40
"378",9986,20.8399999999674,29.3400000003166,5.45,0
"379",9987,21.8299999999581,29.3400000003166,5.46,30
"380",9988,22.8199999999488,29.3400000003166,5.72,30
"381",9992,25.7999999999302,29.3400000003166,6.22,35
"382",9994,27.7799999999115,29.3400000003166,6.42,40
"383",9995,28.7799999999115,29.3400000003166,6.64,40
"384",10067,2.97999999998137,28.3600000003353,5.85,30
"385",10068,3.96999999997206,28.3600000003353,5.81,30
"386",10070,5.95999999996275,28.3600000003353,6,35
"387",10072,7.93999999994412,28.3600000003353,5.06,40
"388",10073,8.92999999993481,28.3600000003353,6.14,40
"389",10074,9.91999999992549,28.3600000003353,5.95,40
"390",10075,10.9199999999255,28.3600000003353,5.93,40
"391",10078,12.8999999999069,28.3600000003353,5.97,30
"392",10079,13.890000000014,28.3600000003353,6.25,30
"393",10081,15.8800000000047,28.3600000003353,6.01,35
"394",10083,17.859999999986,28.3600000003353,6.36,40
"395",10084,18.8499999999767,28.3600000003353,6.03,40
"396",10085,19.8499999999767,28.3600000003353,5.45,40
"397",10086,20.8399999999674,28.3600000003353,5.45,0
"398",10088,21.8299999999581,28.3600000003353,5.52,30
"399",10089,22.8199999999488,28.3600000003353,6.23,30
"400",10091,24.8099999999395,28.3600000003353,6.36,35
"401",10092,25.7999999999302,28.3600000003353,6.22,35
"402",10094,27.7799999999115,28.3600000003353,6.55,40
"403",10095,28.7799999999115,28.3600000003353,6.55,40
"404",10167,2.97999999998137,27.3800000003539,6.1,30
"405",10168,3.96999999997206,27.3800000003539,5.97,30
"406",10170,5.95999999996275,27.3800000003539,6.09,35
"407",10173,7.93999999994412,27.3800000003539,4.7,40
"408",10174,8.92999999993481,27.3800000003539,5.41,40
"409",10175,9.91999999992549,27.3800000003539,6.09,40
"410",10176,10.9199999999255,27.3800000003539,5.64,40
"411",10178,12.8999999999069,27.3800000003539,5.71,30
"412",10181,15.8800000000047,27.3800000003539,5.76,35
"413",10184,17.859999999986,27.3800000003539,6.45,40
"414",10185,18.8499999999767,27.3800000003539,6.2,40
"415",10186,19.8499999999767,27.3800000003539,5.44,0
"416",10187,20.8399999999674,27.3800000003539,5.56,0
"417",10188,21.8299999999581,27.3800000003539,5.93,30
"418",10189,22.8199999999488,27.3800000003539,6.23,30
"419",10191,24.8099999999395,27.3800000003539,6.41,35
"420",10192,25.7999999999302,27.3800000003539,6.41,35
"421",10195,27.7799999999115,27.3800000003539,6.42,40
"422",10196,28.7799999999115,27.3800000003539,6.53,40
"423",10267,2.97999999998137,26.410000000149,6.02,30
"424",10269,3.96999999997206,26.410000000149,5.99,30
"425",10271,5.95999999996275,26.410000000149,6.02,35
"426",10273,7.93999999994412,26.410000000149,5.24,40
"427",10274,8.92999999993481,26.410000000149,5.27,40
"428",10275,9.91999999992549,26.410000000149,6.04,40
"429",10276,10.9199999999255,26.410000000149,5.72,40
"430",10277,11.9099999999162,26.410000000149,5.66,30
"431",10278,12.8999999999069,26.410000000149,6,30
"432",10281,14.890000000014,26.410000000149,6.35,35
"433",10282,15.8800000000047,26.410000000149,5.48,35
"434",10284,17.859999999986,26.410000000149,6.25,40
"435",10285,18.8499999999767,26.410000000149,5.5,40
"436",10286,19.8499999999767,26.410000000149,5,0
"437",10287,20.8399999999674,26.410000000149,5.39,0
"438",10288,21.8299999999581,26.410000000149,5.87,30
"439",10289,22.8199999999488,26.410000000149,6.44,30
"440",10292,24.8099999999395,26.410000000149,6.48,35
"441",10293,25.7999999999302,26.410000000149,6.37,35
"442",10295,27.7799999999115,26.410000000149,6.62,40
"443",10369,2.97999999998137,25.4300000001676,5.75,30
"444",10370,3.96999999997206,25.4300000001676,6.08,30
"445",10372,5.95999999996275,25.4300000001676,5.86,35
"446",10374,7.93999999994412,25.4300000001676,5.94,40
"447",10375,8.92999999993481,25.4300000001676,6.15,40
"448",10377,9.91999999992549,25.4300000001676,5.87,40
"449",10378,10.9199999999255,25.4300000001676,5.69,40
"450",10379,11.9099999999162,25.4300000001676,5.3,30
"451",10380,12.8999999999069,25.4300000001676,6.06,30
"452",10382,14.890000000014,25.4300000001676,6.1,35
"453",10383,15.8800000000047,25.4300000001676,6.33,35
"454",10385,17.859999999986,25.4300000001676,6.21,40
"455",10386,18.8499999999767,25.4300000001676,5.17,40
"456",10388,19.8499999999767,25.4300000001676,5.38,0
"457",10389,20.8399999999674,25.4300000001676,5.26,0
"458",10390,21.8299999999581,25.4300000001676,5.94,30
"459",10391,22.8199999999488,25.4300000001676,6.49,30
"460",10393,24.8099999999395,25.4300000001676,6.51,35
"461",10396,27.7799999999115,25.4300000001676,6.5,40
"462",10465,2.97999999998137,24.4500000001863,5.77,30
"463",10468,5.95999999996275,24.4500000001863,6.06,35
"464",10470,7.93999999994412,24.4500000001863,6.07,40
"465",10471,8.92999999993481,24.4500000001863,6.06,40
"466",10472,9.91999999992549,24.4500000001863,6.02,40
"467",10473,10.9199999999255,24.4500000001863,5.45,40
"468",10474,11.9099999999162,24.4500000001863,5.5,30
"469",10475,12.8999999999069,24.4500000001863,5.79,30
"470",10477,14.890000000014,24.4500000001863,5.8,35
"471",10478,15.8800000000047,24.4500000001863,6.06,35
"472",10480,17.859999999986,24.4500000001863,6.11,40
"473",10481,18.8499999999767,24.4500000001863,5.2,40
"474",10482,19.8499999999767,24.4500000001863,5.15,0
"475",10483,20.8399999999674,24.4500000001863,5.28,30
"476",10484,21.8299999999581,24.4500000001863,6.11,30
"477",10485,22.8199999999488,24.4500000001863,6.09,30
"478",10487,24.8099999999395,24.4500000001863,6.54,35
"479",10489,26.7899999999208,24.4500000001863,6.65,40
"480",10490,27.7799999999115,24.4500000001863,6.06,40
"481",10555,1.98999999999069,23.4700000002049,6.09,30
"482",10556,2.97999999998137,23.4700000002049,5.87,30
"483",10558,4.95999999996275,23.4700000002049,6.04,35
"484",10559,5.95999999996275,23.4700000002049,5.99,35
"485",10561,7.93999999994412,23.4700000002049,5.31,40
"486",10562,8.92999999993481,23.4700000002049,5.17,40
"487",10563,9.91999999992549,23.4700000002049,6.24,40
"488",10564,10.9199999999255,23.4700000002049,5.41,40
"489",10565,11.9099999999162,23.4700000002049,5.63,30
"490",10566,12.8999999999069,23.4700000002049,6.03,30
"491",10568,14.890000000014,23.4700000002049,6.22,35
"492",10571,17.859999999986,23.4700000002049,6.3,40
"493",10572,18.8499999999767,23.4700000002049,5.6,40
"494",10573,19.8499999999767,23.4700000002049,5.4,0
"495",10574,20.8399999999674,23.4700000002049,5.48,30
"496",10575,21.8299999999581,23.4700000002049,6.03,30
"497",10576,22.8199999999488,23.4700000002049,6.27,30
"498",10578,24.8099999999395,23.4700000002049,6.63,35
"499",10580,26.7899999999208,23.4700000002049,6.62,40
"500",10581,27.7799999999115,23.4700000002049,6.54,40
"501",10646,1.98999999999069,22.4900000002235,5.89,30
"502",10647,2.97999999998137,22.4900000002235,5.47,30
"503",10649,4.95999999996275,22.4900000002235,6.11,35
"504",10650,5.95999999996275,22.4900000002235,5.82,35
"505",10652,7.93999999994412,22.4900000002235,5.42,40
