"","field_1","field_2","field_3","field_4","field_5"
"1",118,2.97999999998137,18.5500000002794,7.59,35
"2",120,4.95999999996275,18.5500000002794,7.57,30
"3",121,5.94999999995343,18.5500000002794,7.63,30
"4",124,7.92999999993481,18.5500000002794,7.6,25
"5",126,9.90999999991618,18.5500000002794,7.69,40
"6",128,11.890000000014,18.5500000002794,7.72,35
"7",129,12.8800000000047,18.5500000002794,7.74,35
"8",131,14.8699999999953,18.5500000002794,7.68,30
"9",134,16.8499999999767,18.5500000002794,7.69,25
"10",135,17.8399999999674,18.5500000002794,7.6,25
"11",137,19.8199999999488,18.5500000002794,7.71,40
"12",138,20.8099999999395,18.5500000002794,7.76,40
"13",281,0,17.5800000000745,7.58,40
"14",282,0.989999999990687,17.5800000000745,7.59,40
"15",284,2.97999999998137,17.5800000000745,7.65,35
"16",286,4.95999999996275,17.5800000000745,7.54,30
"17",287,5.94999999995343,17.5800000000745,7.65,30
"18",289,7.92999999993481,17.5800000000745,7.56,25
"19",292,9.90999999991618,17.5800000000745,7.7,40
"20",294,11.890000000014,17.5800000000745,7.62,35
"21",295,12.8800000000047,17.5800000000745,7.63,35
"22",297,14.8699999999953,17.5800000000745,7.62,30
"23",299,16.8499999999767,17.5800000000745,7.46,25
"24",300,17.8399999999674,17.5800000000745,7.51,25
"25",303,19.8199999999488,17.5800000000745,7.71,40
"26",304,20.8099999999395,17.5800000000745,7.73,40
"27",446,0,16.6000000000931,7.66,40
"28",447,0.989999999990687,16.6000000000931,7.57,40
"29",450,2.97999999998137,16.6000000000931,7.62,35
"30",452,4.95999999996275,16.6000000000931,7.59,30
"31",453,5.94999999995343,16.6000000000931,7.65,30
"32",455,7.92999999993481,16.6000000000931,7.58,25
"33",457,9.90999999991618,16.6000000000931,7.65,40
"34",461,12.8800000000047,16.6000000000931,7.63,35
"35",463,14.8699999999953,16.6000000000931,7.63,30
"36",465,16.8499999999767,16.6000000000931,7.45,25
"37",466,17.8399999999674,16.6000000000931,7.46,25
