"","field_1","field_2","field_3","field_4","field_5"
"1",10362,20.6900000000605,0.990000000223517,8.01,25
"2",10150,20.6900000000605,1.97000000020489,8.04,25
"3",9522,34.4799999999814,4.93000000016764,8.08,35
"4",9943,25.609999999986,2.95999999996275,8.1,35
"5",10542,16.75,0,8.1,35
"6",4759,34.4799999999814,26.6099999998696,8.12,40
"7",9951,32.5100000000093,2.95999999996275,8.14,30
"8",9723,20.6900000000605,3.93999999994412,8.18,25
"9",4986,33.5,25.6200000001118,8.19,40
"10",5215,34.4799999999814,24.6400000001304,8.19,40
"11",321,30.5400000000373,45.3300000000745,8.2,40
"12",4295,25.609999999986,28.5800000000745,8.2,25
"13",5683,16.75,22.6699999999255,8.2,25
"14",6193,35.4700000000885,20.6899999999441,8.22,40
"15",8728,31.5300000000279,8.87000000011176,8.22,30
"16",9928,11.8200000000652,2.95999999996275,8.24,25
"17",9938,20.6900000000605,2.95999999996275,8.24,25
"18",14460,21.6700000000419,65.0299999997951,8.24,30
"19",3598,33.5,31.5299999997951,8.25,40
"20",3846,33.5,30.5499999998137,8.25,40
"21",4065,23.640000000014,29.5600000000559,8.25,40
"22",16542,28.5700000000652,55.1800000001676,8.25,40
"23",1530,31.5300000000279,40.3999999999069,8.26,40
"24",3840,27.5900000000838,30.5499999998137,8.26,30
"25",10143,13.7900000000373,1.97000000020489,8.26,30
"26",10159,28.5700000000652,1.97000000020489,8.26,40
"27",15685,7.88000000000466,59.1200000001118,8.26,40
"28",10156,25.609999999986,1.97000000020489,8.27,35
"29",17673,29.5600000000559,50.25,8.27,40
"30",8930,31.5300000000279,7.89000000013039,8.28,30
"31",1750,31.5300000000279,39.4199999999255,8.29,40
"32",7442,36.4500000000698,14.7799999997951,8.29,40
"33",10354,13.7900000000373,0.990000000223517,8.29,30
"34",10357,16.75,0.990000000223517,8.29,35
"35",1723,4.92000000004191,39.4199999999255,8.3,25
"36",7851,16.75,12.8100000000559,8.3,40
"37",5212,31.5300000000279,24.6400000001304,8.31,35
"38",7246,36.4500000000698,15.7700000000186,8.31,40
"39",1722,3.94000000006054,39.4199999999255,8.32,25
