"","field_1","field_2","field_3","field_4","field_5"
"1",130,7.88000000000466,20.6899999999441,7.52,30
"2",132,9.84999999997672,20.6899999999441,7.35,25
"3",133,10.8399999999674,20.6899999999441,7.15,25
"4",135,12.8099999999395,20.6899999999441,7.43,40
"5",138,15.7600000000093,20.6899999999441,7.47,35
"6",140,17.7299999999814,20.6899999999441,7.43,30
"7",143,20.6899999999441,20.6899999999441,7.29,25
"8",145,22.6600000000326,20.6899999999441,7.33,40
"9",146,23.6500000000233,20.6899999999441,7.4,40
"10",290,3.93999999994412,19.7000000001863,7.53,35
"11",291,4.92999999993481,19.7000000001863,7.64,35
"12",294,7.88000000000466,19.7000000001863,7.6,30
"13",296,9.84999999997672,19.7000000001863,7.37,25
"14",299,12.8099999999395,19.7000000001863,7.54,40
"15",301,14.7800000000279,19.7000000001863,7.41,35
"16",302,15.7600000000093,19.7000000001863,7.45,35
"17",304,17.7299999999814,19.7000000001863,7.33,30
"18",306,19.7099999999627,19.7000000001863,7.34,25
"19",307,20.6899999999441,19.7000000001863,7.37,25
"20",309,22.6600000000326,19.7000000001863,7.34,40
"21",310,23.6500000000233,19.7000000001863,7.32,40
"22",452,3.93999999994412,18.7199999997392,7.57,35
"23",453,4.92999999993481,18.7199999997392,7.57,35
"24",455,6.90000000002328,18.7199999997392,7.56,30
"25",458,9.84999999997672,18.7199999997392,7.3,25
"26",460,11.8199999999488,18.7199999997392,7.5,40
"27",461,12.8099999999395,18.7199999997392,7.61,40
"28",463,14.7800000000279,18.7199999997392,7.49,35
"29",466,17.7299999999814,18.7199999997392,7.34,30
"30",468,19.7099999999627,18.7199999997392,7.34,25
"31",471,22.6600000000326,18.7199999997392,7.25,40
"32",472,23.6500000000233,18.7199999997392,7.32,40
"33",610,3.93999999994412,17.7299999999814,7.56,35
"34",611,4.92999999993481,17.7299999999814,7.45,35
"35",613,6.90000000002328,17.7299999999814,7.61,30
"36",615,8.86999999999534,17.7299999999814,7.42,25
"37",616,9.84999999997672,17.7299999999814,7.35,25
"38",618,11.8199999999488,17.7299999999814,7.55,40
"39",621,14.7800000000279,17.7299999999814,7.53,35
"40",623,16.75,17.7299999999814,7.46,30
"41",624,17.7299999999814,17.7299999999814,7.3,30
"42",626,19.7099999999627,17.7299999999814,7.32,25
"43",628,21.6799999999348,17.7299999999814,7.49,40
"44",629,22.6600000000326,17.7299999999814,7.44,40
"45",766,2.94999999995343,16.75,7.3,35
"46",767,3.93999999994412,16.75,7.59,35
"47",770,6.90000000002328,16.75,7.48,30
"48",772,8.86999999999534,16.75,7.33,25
"49",775,11.8199999999488,16.75,7.44,40
"50",777,13.7899999999208,16.75,7.44,35
"51",778,14.7800000000279,16.75,7.48,35
"52",780,16.75,16.75,7.45,30
"53",783,19.7099999999627,16.75,7.4,25
"54",785,21.6799999999348,16.75,7.28,40
"55",786,22.6600000000326,16.75,7.44,40
"56",921,2.94999999995343,15.7599999997765,7.49,35
"57",922,3.93999999994412,15.7599999997765,7.3,35
"58",924,5.9100000000326,15.7599999997765,7.4,30
"59",927,8.86999999999534,15.7599999997765,7.31,25
"60",929,10.8399999999674,15.7599999997765,7.58,40
"61",930,11.8199999999488,15.7599999997765,7.56,40
"62",932,13.7899999999208,15.7599999997765,7.47,35
"63",935,16.75,15.7599999997765,7.5,30
"64",937,18.7199999999721,15.7599999997765,7.35,25
"65",940,21.6799999999348,15.7599999997765,7.39,40
"66",941,22.6600000000326,15.7599999997765,7.47,40
"67",1075,2.94999999995343,14.7799999997951,7.54,35
"68",1076,3.93999999994412,14.7799999997951,7.59,35
"69",1078,5.9100000000326,14.7799999997951,7.37,30
"70",1080,7.88000000000466,14.7799999997951,7.38,25
"71",1081,8.86999999999534,14.7799999997951,7.31,25
"72",1083,10.8399999999674,14.7799999997951,7.52,40
"73",1086,13.7899999999208,14.7799999997951,7.31,35
"74",1088,15.7600000000093,14.7799999997951,7.48,30
"75",1089,16.75,14.7799999997951,7.48,30
"76",1091,18.7199999999721,14.7799999997951,7.48,25
"77",1093,20.6899999999441,14.7799999997951,7.4,40
"78",1094,21.6799999999348,14.7799999997951,7.47,40
"79",1225,1.96999999997206,13.7900000000373,7.26,35
"80",1226,2.94999999995343,13.7900000000373,7.53,35
"81",1229,5.9100000000326,13.7900000000373,7.62,30
"82",1231,7.88000000000466,13.7900000000373,7.29,25
"83",1234,10.8399999999674,13.7900000000373,7.46,40
"84",1236,12.8099999999395,13.7900000000373,7.45,35
"85",1237,13.7899999999208,13.7900000000373,7.45,35
"86",1239,15.7600000000093,13.7900000000373,7.1,30
"87",1242,18.7199999999721,13.7900000000373,7.51,25
"88",1244,20.6899999999441,13.7900000000373,7.53,40
