"","field_1","field_2","field_3","field_4","field_5"
"1",3225,45.2700000000186,14.929999999702,8.01,50
"2",13293,58.0599999999395,40.8099999995902,8.06,50
"3",13174,62.9799999999814,41.7999999998137,8.08,50
"4",13171,60.0200000000186,41.7999999998137,8.09,50
"5",3997,68.8800000000047,8.95999999996275,8.1,50
"6",3266,81.6699999999255,14.929999999702,8.13,45
"7",971,30.5100000000093,31.8499999996275,8.16,55
"8",4119,60.0200000000186,7.96999999973923,8.16,50
"9",13173,61.9899999999907,41.7999999998137,8.16,50
"10",3990,62.9799999999814,8.95999999996275,8.17,50
"11",4090,34.4399999999441,7.96999999973923,8.18,45
"12",3351,36.4099999999162,13.9399999999441,8.21,50
"13",4371,49.1999999999534,5.96999999973923,8.21,50
"14",4372,50.1899999999441,5.96999999973923,8.22,50
"15",1091,26.5699999999488,30.8599999998696,8.24,55
"16",3502,66.9099999999162,12.9399999999441,8.25,45
"17",3991,63.9599999999627,8.95999999996275,8.25,50
"18",3998,69.859999999986,8.95999999996275,8.25,50
"19",4365,44.2800000000279,5.96999999973923,8.27,50
"20",4484,41.3299999999581,4.97999999998137,8.27,50
"21",4601,35.4299999999348,3.97999999998137,8.27,50
"22",975,34.4399999999441,31.8499999996275,8.29,55
"23",3996,67.9000000000233,8.95999999996275,8.29,50
"24",87,42.3099999999395,38.8199999998324,8.31,50
"25",3649,90.5300000000279,11.9499999997206,8.33,50
"26",4599,33.4599999999627,3.97999999998137,8.33,50
"27",2811,35.4299999999348,17.9199999999255,8.34,55
"28",4792,22.6300000000047,1.98999999975786,8.34,50
"29",3216,37.390000000014,14.929999999702,8.35,50
"30",970,29.5200000000186,31.8499999996275,8.37,55
"31",324,28.5399999999208,36.8299999996088,8.39,50
"32",1092,27.5499999999302,30.8599999998696,8.39,55
"33",4350,30.5100000000093,5.96999999973923,8.39,45
"34",819,2.94999999995343,32.8499999996275,8.4,50
"35",3879,79.6999999999534,9.95999999996275,8.4,50
"36",2814,38.3800000000047,17.9199999999255,8.41,55
"37",3878,78.7199999999721,9.95999999996275,8.41,50
"38",4087,31.4899999999907,7.96999999973923,8.41,45
"39",2609,90.5300000000279,19.9099999996834,8.42,50
"40",4879,16.7299999999814,1,8.43,50
"41",1947,70.8499999999767,24.8799999998882,8.44,55
"42",2812,36.4099999999162,17.9199999999255,8.44,55
"43",3609,51.1699999999255,11.9499999997206,8.44,45
"44",1883,13.7800000000279,24.8799999998882,8.45,50
"45",1093,28.5399999999208,30.8599999998696,8.46,55
"46",1884,14.7600000000093,24.8799999998882,8.47,50
"47",2439,45.2700000000186,20.8999999999069,8.47,55
"48",1885,15.75,24.8799999998882,8.48,50
"49",3610,52.1500000000233,11.9499999997206,8.48,45
"50",4088,32.4699999999721,7.96999999973923,8.48,45
"51",4348,28.5399999999208,5.96999999973923,8.48,45
"52",693,8.85999999998603,33.839999999851,8.49,50
"53",2813,37.390000000014,17.9199999999255,8.49,55
"54",2964,54.1199999999953,16.9199999999255,8.49,50
"55",3265,80.6899999999441,14.929999999702,8.49,45
"56",3740,61.9899999999907,10.9499999997206,8.49,45
"57",13294,59.0399999999208,40.8099999995902,8.49,50
"58",3995,66.9099999999162,8.95999999996275,8.5,50
"59",4591,26.5699999999488,3.97999999998137,8.5,50
"60",567,16.7299999999814,34.839999999851,8.51,50
"61",1495,44.2800000000279,27.8699999996461,8.51,50
"62",12803,83.640000000014,44.7899999995716,8.51,50
"63",1914,41.3299999999581,24.8799999998882,8.52,45
"64",3087,44.2800000000279,15.929999999702,8.52,50
"65",13056,69.859999999986,42.7999999998137,8.52,50
"66",2532,14.7600000000093,19.9099999996834,8.53,45
"67",3220,40.3499999999767,14.929999999702,8.53,50
"68",1496,45.2700000000186,27.8699999996461,8.54,50
"69",445,22.6300000000047,35.8299999996088,8.55,50
"70",2675,33.4599999999627,18.9099999996834,8.55,55
"71",3765,86.5899999999674,10.9499999997206,8.56,50
"72",3994,65.9299999999348,8.95999999996275,8.56,50
"73",4224,34.4399999999441,6.96999999973923,8.56,45
"74",4369,47.2299999999814,5.96999999973923,8.56,50
"75",4597,31.4899999999907,3.97999999998137,8.56,50
"76",477,51.1699999999255,35.8299999996088,8.57,55
"77",3089,45.2700000000186,15.929999999702,8.57,50
"78",3214,35.4299999999348,14.929999999702,8.57,50
"79",1090,25.5899999999674,30.8599999998696,8.58,55
"80",2712,66.9099999999162,18.9099999996834,8.58,50
"81",3215,36.4099999999162,14.929999999702,8.58,50
"82",3350,35.4299999999348,13.9399999999441,8.58,50
"83",4451,11.8099999999395,4.97999999998137,8.58,45
"84",4702,28.5399999999208,2.98999999975786,8.58,50
"85",827,10.8299999999581,32.8499999996275,8.59,50
"86",3355,40.3499999999767,13.9399999999441,8.59,50
"87",3971,45.2700000000186,8.95999999996275,8.59,45
"88",4118,59.0399999999208,7.96999999973923,8.59,50
"89",12946,86.5899999999674,43.7999999998137,8.59,50
"90",3224,44.2800000000279,14.929999999702,8.6,50
"91",3833,35.4299999999348,9.95999999996275,8.6,45
"92",4483,40.3499999999767,4.97999999998137,8.6,50
"93",2205,61.0100000000093,22.8899999996647,8.61,55
"94",2098,79.6999999999534,23.8899999996647,8.62,55
"95",3354,39.359999999986,13.9399999999441,8.62,50
"96",3347,32.4699999999721,13.9399999999441,8.63,50
"97",4370,48.2199999999721,5.96999999973923,8.63,50
"98",4600,34.4399999999441,3.97999999998137,8.63,50
"99",4683,9.8399999999674,2.98999999975786,8.63,45
"100",4791,21.6500000000233,1.98999999975786,8.63,50
"101",446,23.6199999999953,35.8299999996088,8.64,50
"102",1815,79.6999999999534,25.8799999998882,8.64,55
"103",2085,67.9000000000233,23.8899999996647,8.64,55
"104",3223,43.2999999999302,14.929999999702,8.64,50
"105",3462,27.5499999999302,12.9399999999441,8.64,50
"106",13291,56.0899999999674,40.8099999995902,8.64,50
"107",13408,54.1199999999953,39.8099999995902,8.64,50
"108",1088,23.6199999999953,30.8599999998696,8.65,55
"109",1115,50.1899999999441,30.8599999998696,8.65,50
"110",3221,41.3299999999581,14.929999999702,8.65,50
"111",3237,56.0899999999674,14.929999999702,8.65,50
"112",3353,38.3800000000047,13.9399999999441,8.65,50
"113",4223,33.4599999999627,6.96999999973923,8.65,45
"114",4367,45.2700000000186,5.96999999973923,8.65,50
"115",88,43.2999999999302,38.8199999998324,8.66,50
"116",1814,78.7199999999721,25.8799999998882,8.66,55
"117",3219,39.359999999986,14.929999999702,8.66,50
"118",4091,35.4299999999348,7.96999999973923,8.66,45
"119",4360,39.359999999986,5.96999999973923,8.66,50
"120",4701,27.5499999999302,2.98999999975786,8.66,50
"121",12936,76.75,43.7999999998137,8.66,50
"122",90,45.2700000000186,38.8199999998324,8.67,50
"123",215,46.25,37.8199999998324,8.67,50
"124",1361,48.2199999999721,28.8699999996461,8.67,50
"125",2438,44.2800000000279,20.8999999999069,8.67,55
"126",2691,48.2199999999721,18.9099999996834,8.67,55
"127",2943,35.4299999999348,16.9199999999255,8.67,55
"128",1089,24.5999999999767,30.8599999998696,8.68,55
"129",1752,23.6199999999953,25.8799999998882,8.68,50
"130",2799,24.5999999999767,17.9199999999255,8.68,55
